feature,mean_coef,mean_abs_coef,std_abs_coef,mean_abs_rank,sign_consistency,fold_stability,n_folds
trade_turnover_imb,-0.000605664390604943,0.0006135703297331929,0.0005975906969979405,7.199999809265137,0.8,0.9994027614593506,5
trade_imb,0.0004351059324108064,0.0005949136102572083,0.0002736408496275544,2.5999999046325684,0.8,0.9997264742851257,5
ob_imb4,-0.00023833513841964304,0.0005549484631046653,0.0005400623194873333,4.800000190734863,0.6,0.9994602799415588,5
obi4,-0.00023731209512334317,0.0005539447301998734,0.0005376874469220638,4.599999904632568,0.6,0.9994626641273499,5
obi0,0.0003020596341229975,0.0004579763044603169,0.0005986912874504924,7.199999809265137,0.8,0.9994016885757446,5
ob_imb0,0.0002962235012091696,0.0004468908591661602,0.0005830813315697014,8.199999809265137,0.8,0.9994173049926758,5
order_pressure,0.00032294163247570395,0.00034069648245349526,0.0002857627987395972,7.199999809265137,0.8,0.9997143149375916,5
trade_imbema5,6.278849468799308e-05,0.0002740134368650615,0.0001385758223477751,6.0,0.4,0.999861478805542,5
add_imb,0.0001907737023429945,0.0001907737023429945,3.231838491046801e-05,7.199999809265137,1.0,0.9999676942825317,5
lagret12,-0.0001025077435770072,0.0001404297217959538,0.00016014107677619904,11.800000190734863,0.6,0.9998399019241333,5
trade_activity,8.867067663231865e-05,0.00011771273420890793,5.989808414597064e-05,9.800000190734863,0.8,0.9999401569366455,5
cxl_imb,-0.00011057123629143462,0.00011057123629143462,4.9827714974526316e-05,10.0,1.0,0.9999501705169678,5
spread,-7.127239950932562e-05,0.00010090189607581124,6.469271465903148e-05,12.399999618530273,0.8,0.9999352693557739,5
mid_ret1_raw,-8.126064494717866e-05,8.126064494717866e-05,1.3699007467948832e-05,11.600000381469727,1.0,0.9999862909317017,5
qty_add_imb,7.211494084913284e-05,7.211494084913284e-05,1.9814753613900393e-05,12.600000381469727,1.0,0.9999802112579346,5
buy_vwad_gap,2.060843507933896e-05,3.3928514312719926e-05,1.6705089365132153e-05,16.0,0.8,0.9999833106994629,5
sell_vwad_gap,6.365281478792895e-06,3.238725912524387e-05,2.480785406078212e-05,17.0,0.8,0.9999752044677734,5
qty_cxl_imb,-1.7162081348942593e-05,2.0070443497388624e-05,1.957581116585061e-05,17.600000381469727,0.6,0.9999804496765137,5
obi9,-9.723665243654978e-06,1.1113918844785076e-05,7.091224688338116e-06,17.799999237060547,0.8,0.9999929666519165,5
ob_imb9,-9.849954949459061e-06,1.038265327224508e-05,7.66106131777633e-06,18.399999618530273,0.8,0.9999923706054688,5
